iterations,proportion,seed,accuracy
1000,0.5,81,0.932146829810901
1000,0.5,82,0.9187986651835373
1000,0.5,83,0.9365962180200222
1000,0.5,84,0.9354838709677419
1000,0.5,85,0.9332591768631813
1000,0.5,86,0.92880978865406
1000,0.5,87,0.9410456062291435
1000,0.5,88,0.9332591768631813
1000,0.5,89,0.9432703003337041
1000,0.5,90,0.9410456062291435
1000,0.7,81,0.9481481481481482
1000,0.7,82,0.9185185185185185
1000,0.7,83,0.9388888888888889
1000,0.7,84,0.9222222222222223
1000,0.7,85,0.9481481481481482
1000,0.7,86,0.9259259259259259
1000,0.7,87,0.9518518518518518
1000,0.7,88,0.9333333333333333
1000,0.7,89,0.9481481481481482
1000,0.7,90,0.9462962962962963
1000,0.8,81,0.9333333333333333
1000,0.8,82,0.9166666666666666
1000,0.8,83,0.9416666666666667
1000,0.8,84,0.9277777777777778
1000,0.8,85,0.9555555555555556
1000,0.8,86,0.925
1000,0.8,87,0.95
1000,0.8,88,0.9305555555555556
1000,0.8,89,0.9472222222222222
1000,0.8,90,0.9361111111111111
1000,0.9,81,0.9388888888888889
1000,0.9,82,0.9
1000,0.9,83,0.9333333333333333
1000,0.9,84,0.9055555555555556
1000,0.9,85,0.9222222222222223
1000,0.9,86,0.9388888888888889
1000,0.9,87,0.9777777777777777
1000,0.9,88,0.9222222222222223
1000,0.9,89,0.9333333333333333
1000,0.9,90,0.9555555555555556
