iterations,proportion,seed,accuracy
1000,0.7,81,0.9333333333333333
1000,0.7,82,0.9111111111111111
1000,0.7,83,0.9777777777777777
1000,0.7,84,0.9333333333333333
1000,0.7,85,0.9333333333333333
1000,0.7,86,1.0
1000,0.7,87,0.8888888888888888
1000,0.7,88,0.9777777777777777
1000,0.7,89,0.9111111111111111
1000,0.7,90,0.9555555555555556
2000,0.7,81,0.9555555555555556
2000,0.7,82,0.9333333333333333
2000,0.7,83,0.9555555555555556
2000,0.7,84,0.9111111111111111
2000,0.7,85,0.9333333333333333
2000,0.7,86,1.0
2000,0.7,87,0.8888888888888888
2000,0.7,88,0.9777777777777777
2000,0.7,89,0.9111111111111111
2000,0.7,90,0.9777777777777777
5000,0.7,81,0.9333333333333333
5000,0.7,82,0.9111111111111111
5000,0.7,83,0.9555555555555556
5000,0.7,84,0.9111111111111111
5000,0.7,85,0.9555555555555556
5000,0.7,86,0.9555555555555556
5000,0.7,87,0.9111111111111111
5000,0.7,88,1.0
5000,0.7,89,0.9111111111111111
5000,0.7,90,0.9777777777777777
10000,0.7,81,0.9111111111111111
10000,0.7,82,0.9333333333333333
10000,0.7,83,0.9777777777777777
10000,0.7,84,0.9333333333333333
10000,0.7,85,0.9333333333333333
10000,0.7,86,1.0
10000,0.7,87,0.8888888888888888
10000,0.7,88,0.9777777777777777
10000,0.7,89,0.9555555555555556
10000,0.7,90,0.9777777777777777
