hidden,proportion,seed,accuracy
5,0.7,81,0.9462962962962963
5,0.7,82,0.912962962962963
5,0.7,83,0.937037037037037
5,0.7,84,0.924074074074074
5,0.7,85,0.95
5,0.7,86,0.9277777777777778
5,0.7,87,0.9518518518518518
5,0.7,88,0.9351851851851852
5,0.7,89,0.9444444444444444
5,0.7,90,0.9388888888888889
10,0.7,81,0.9481481481481482
10,0.7,82,0.9203703703703704
10,0.7,83,0.9351851851851852
10,0.7,84,0.9203703703703704
10,0.7,85,0.9481481481481482
10,0.7,86,0.9296296296296296
10,0.7,87,0.9481481481481482
10,0.7,88,0.9333333333333333
10,0.7,89,0.95
10,0.7,90,0.9388888888888889
20,0.7,81,0.95
20,0.7,82,0.9166666666666666
20,0.7,83,0.9425925925925925
20,0.7,84,0.924074074074074
20,0.7,85,0.9462962962962963
20,0.7,86,0.924074074074074
20,0.7,87,0.95
20,0.7,88,0.9388888888888889
20,0.7,89,0.9481481481481482
20,0.7,90,0.937037037037037
50,0.7,81,0.9425925925925925
50,0.7,82,0.9166666666666666
50,0.7,83,0.937037037037037
50,0.7,84,0.912962962962963
50,0.7,85,0.95
50,0.7,86,0.9296296296296296
50,0.7,87,0.95
50,0.7,88,0.9351851851851852
50,0.7,89,0.9425925925925925
50,0.7,90,0.9407407407407408
